Month,Year,km,hr
August,2020,57.8,10.5
July,2020,96.2,18
June,2020,98.6,19
May,2020,89.5,16
April,2020,76.3,13.5
March,2020,33.6,6
February,2020,19.3,3
January,2020,50,9.5
December,,,
November,,,
October,,,
September,,,
August,2019,31.7,6.5
July,2019,31.9,6.25
June,2019,,
May,2019,38.5,6.75
April,2019,55.9,9
March,2019,111.1,16
February,2019,56.5,8
January,2019,105,14
December,2019,73.5,14
November,2019,54.7,10.5
October,2019,70.6,14
September,2019,76.5,15
August,2018,89.9,11.5
July,2018,89.9,11.5
June,2018,34.3,4
May,2018,92.6,12
April,2018,78,10
March,2018,102,12
February,2018,47,6
January,2018,78,10
December,2018,93.8,14
November,2018,109.9,15.5
October,2018,113,18
September,2018,129.4,17
August,2017,83.2,11
July,2017,61.2,8
June,2017,108,17.5
May,2017,74,9.5
April,2017,110,13
March,2017,77.8,9
February,2017,57,7
January,2017,73.4,9
December,2017,56.9,7
November,2017,76,9.5
October,2017,51,6.25
September,2017,72.7,9.5
August,2016,74,8
December,2016,63,9
November,2016,43,5
October,2016,69,8
September,2016,71,6
